"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", -4, 11, -1, 6
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 0, 3, 0, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", -4, 0, 0, -4
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", -2, 2, -3, -3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 1, 0, 1
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", -3, 0, 1, -2
"Total", "-", -13, 17, -3, 1
