"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 19, 32, 5, 56
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 57, 2, 11, 70
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 20, 0, 8, 28
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 429, 35, 17, 481
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interrupts.h", "C++", 21, 3, 7, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 54, 18, 19, 91
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 335, 9, 22, 366
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 47, 9, 56
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 31, 19, 9, 59
"Total", "-", 966, 165, 107, 1238
