"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 54, 1, 9, 64
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Chamfer.h", "C++", 2, 0, 1, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 30, 1, 1, 32
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 7, 3, -1, 9
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 3, -2, 1, 2
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 5, 0, 5
"Total", "-", 96, 8, 11, 115
