Reference,Value,Qty
C1,CL31B106KBHNNNE,1
C2,CL32B226MOJNNNECAP_CL32_SAM-M,1
ENCODER0,1-2834015-4,1
J1-J5,B4B-PH-K-S_LF__SN_,5
POWER_INPUT0,1-2834015-4,1
PS1,P78E05-1000,1
Q1-Q6,MMBT2222ALT3G,6
"R1, R6, R9, R12, R15, R18",CRCW12061K00FKEAC,6
"R2, R7, R10, R13, R16, R19",CR1206-FX-8250ELF,6
"R5, R8, R11, R14, R17, R20",CRCW1206220RFKEAC,6
R23-R26,CRCW12064K70FKEBC,4
"STEPPER1, STEPPER2",1-2834015-4,2
TEENSY_4.0,TEENSY_4.0,1
