"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 0, -18, 0, -18
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 0, 2, 1, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 121, 8, 7, 136
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 6, 0, 1, 7
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 21, 1, 1, 23
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, -35, -8, -43
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 0, 2, 0, 2
"Total", "-", 148, -40, 2, 110
