"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 19, 14, 5, 38
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 57, 2, 11, 70
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 20, 2, 9, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 550, 43, 24, 617
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interrupts.h", "C++", 21, 3, 7, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 60, 18, 20, 98
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 356, 10, 23, 389
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 12, 1, 13
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 31, 21, 9, 61
"Total", "-", 1114, 125, 109, 1348
