"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 6, 1, 4, 11
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 1, -1, -2, -2
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 4, 0, -1, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 1, 4, -3, 2
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 3, 0, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 1, -2, -1, -2
"Total", "-", 13, 5, -3, 15
