"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 19, 14, 5, 38
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 63, 3, 15, 81
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 21, 1, 7, 29
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 554, 43, 23, 620
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interrupts.h", "C++", 21, 3, 7, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 61, 22, 17, 100
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 356, 10, 23, 389
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 15, 1, 16
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 32, 19, 8, 59
"Total", "-", 1127, 130, 106, 1363
