"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 2, 13, 3, 18
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 19, -1, 6, 24
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 8, -3, 1, 6
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", -8, 4, 0, -4
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 3, 0, 3
"Total", "-", 21, 16, 10, 47
